name;experiennce_years;city;rating;price
Anisa Suryanto;5;Yogyakarta;4.8 ;500.000
Budi Santoso;3;Yogyakarta;4.7;550.000
Cindy Lim;4;Yogyakarta;4.5;500.000
Dharma Putra;4;Yogyakarta;4.7;550.000
Elisa Tan;6;Surabaya;4.6;700.000
Faisal Rahman;5;Surabaya;4.2;600.000
Gita Wijaya;4;Surabaya;4.5;650.000
Hanif Pratama;6;Surabaya;4.8;700.000
Indah Kusuma;7;Jakarta Barat;4.8;800.000
Joko Susilo;4;Jakarta Barat;4.4;700.000
Karina Putri;6;Jakarta Barat;4.9;900.000
Lukman Harun;5;Jakarta Barat;4.7;750.000
Dian Pratiwi;5;Bandung;4.5;550.000
Fajar Utomo;4;Bandung;4.8;600.000
Ratna Sari;6;Bandung;4.7;700.000
Sugeng Santoso;3;Bandung;4.2;500.000
Rini Handayani;7;Malang;4.9;750.000
Adi Nugroho;5;Malang;4.6;600.000
Yuli Widodo;4;Malang;4.3;550.000
Eka Wijaya;6;Malang;4.7;700.000
Siti Nurhayati;7;Solo;4.8;800.000
Ahmad Setiawan;4;Solo;4.4;650.000
Rina Fitriani;6;Solo;4.9;900.000
Joko Pramono;5;Solo;4.7;750.000
Hendro Setiawan;5;Semarang;4.5;550.000
Sinta Pratiwi;4;Semarang;4.8;600.000
Rudi Santoso;6;Semarang;4.7;700.000
Eva Wijaya;3;Semarang;4.2;500.000
Putra Nugroho;7;Cirebon;4.9;750.000
Sari Handayani;5;Cirebon;4.6;600.000
Bambang Pramono;4;Cirebon;4.3;550.000
Dini Setiawan;6;Cirebon;4.7;700.000
Ahmad Kusuma;7;Tegal;4.8;800.000
Rina Wijaya;4;Tegal;4.4;650.000
Joko Setiadi;6;Tegal;4.9;900.000
Siska Pramudita;5;Tegal;4.7;750.000
Surya Setiawan;5;Cilacap;4.5;550.000
Rini Wijaya;4;Cilacap;4.8;600.000
Dwi Santoso;6;Cilacap;4.7;700.000
Eka Handayani;3;Cilacap;4.2;500.000
Bayu Nugroho;7;Purwokerto;4.9;750.000
Ratna Pratiwi;5;Purwokerto;4.6;600.000
Sigit Wijaya;4;Purwokerto;4.3;550.000
Faliana;6;Purwokerto;4.7;700.000
Rini Setiawan;5;Sukabumi;4.5;550.000
Surya Pratiwi;4;Sukabumi;4.8;600.000
Putri;6;Sukabumi;4.7;700.000
Eva Nugroho;3;Sukabumi;4.2;500.000
Ahmad Handayani;7;Kuningan;4.9;750.000
Ratna Wijaya;5;Kuningan;4.6;600.000
Sigit Pratiwi;4;Kuningan;4.3;550.000
Budi Setiawan;6;Kuningan;4.7;700.000
Eka Kusuma;7;Tasikmalaya;4.8;800.000
Rina Setiawan;4;Tasikmalaya;4.4;650.000
Surya Pramudita;6;Tasikmalaya;4.9;900.000
Dewi Wijaya;5;Tasikmalaya;4.7;750.000
Diana Setiawan;5;Purwakarta;4.5;550.000
Rudi Santoso;4;Purwakarta;4.8;600.000
Eva Pratiwi;6;Purwakarta;4.7;700.000
Budi Nugroho;3;Purwakarta;4.2;500.000
Anita Kusuma;7;Cikarang;4.9;750.000
Rendra Wijaya;5;Cikarang;4.6;600.000
Maya Pratiwi;4;Cikarang;4.3;550.000
Ferry Santoso;6;Cikarang;4.7;700.000
Ratna Kusuma;7;Purbalingga;4.8;800.000
Arif Setiawan;4;Purbalingga;4.4;650.000
Dina Pramudita;6;Purbalingga;4.9;900.000
Eko Wijaya;5;Purbalingga;4.7;750.000
Siti Rahayu;5;Jakarta Pusat;4.5;550.000
Rudi Santoso;4;Jakarta Pusat;4.8;600.000
Eva Pratiwi;6;Jakarta Pusat;4.7;700.000
Budi Nugroho;3;Jakarta Pusat;4.2;500.000
Anita Kusuma;7;Jakarta Selatan;4.9;750.000
Rendra Wijaya;5;Jakarta Selatan;4.6;600.000
Maya Pratiwi;4;Jakarta Selatan;4.3;550.000
Ferry Santoso;6;Jakarta Selatan;4.7;700.000
Ratna Kusuma;7;Jakarta Timur;4.8;800.000
Arif Setiawan;4;Jakarta Timur;4.4;650.000
Dina Pramudita;6;Jakarta Timur;4.9;900.000
Eko Wijaya;5;Jakarta Timur;4.7;750.000
Surya Setiawan;7;Jakarta Utara;4.5;550.000
Rini Pratiwi;4;Jakarta Utara;4.8;600.000
Dian Santoso;6;Jakarta Utara;4.7;700.000
Eva Nugroho;3;Jakarta Utara;4.2;500.000
Dian Setiawan;5;Banjar;4.5;550.000
Rudi Santoso;4;Banjar;4.8;600.000
Eva Pratiwi;6;Banjar;4.7;700.000
Budi Nugroho;3;Banjar;4.2;500.000
Anita Kusuma;7;Bogor;4.9;750.000
Rendra Wijaya;5;Bogor;4.6;600.000
Maya Pratiwi;4;Bogor;4.3;550.000
Ferry Santoso;6;Bogor;4.7;700.000
Ratna Kusuma;7;Bekasi;4.8;800.000
Arif Setiawan;4;Bekasi;4.4;650.000
Dina Pramudita;6;Bekasi;4.9;900.000
Eko Wijaya;5;Bekasi;4.7;750.000
Surya Setiawan;7;Cimahi;4.5;550.000
Rini Pratiwi;4;Cimahi;4.8;600.000
Melani;6;Cimahi;4.7;700.000
Eva Nugroho;3;Cimahi;4.2;500.000
Ahmad Kusuma;7;Cirebon;4.8;800.000
Rina Setiawan;4;Cirebon;4.4;650.000
Dwi Pratiwi;6;Cirebon;4.9;900.000
Yudi Wijaya;5;Cirebon;4.7;750.000
Siti Rahayu;7;Depok;4.5;550.000
Rudi Wijaya;4;Depok;4.8;600.000
Maya Santoso;6;Depok;4.7;700.000
Dina Nugroho;3;Depok;4.2;500.000
Rini Setiawan;5;Magelang;4.5;550.000
Rudi Santoso;4;Magelang;4.8;600.000
Eva Pratiwi;6;Magelang;4.7;700.000
Budi Nugroho;3;Magelang;4.2;500.000
Anita Kusuma;7;Pekalongan;4.9;750.000
Rendra Wijaya;5;Pekalongan;4.6;600.000
Maya Pratiwi;4;Pekalongan;4.3;550.000
Ferry Santoso;6;Pekalongan;4.7;700.000
Ratna Kusuma;7;Salatiga;4.8;800.000
Arif Setiawan;4;Salatiga;4.4;650.000
Dina Pramudita;6;Salatiga;4.9;900.000
Eko Wijaya;5;Salatiga;4.7;750.000
Surya Setiawan;7;Surakarta;4.5;550.000
Rini Pratiwi;4;Surakarta;4.8;600.000
Dian Santoso;6;Surakarta;4.7;700.000
Eva Nugroho;3;Surakarta;4.2;500.000
Ahmad Kusuma;7;Tegal;4.8;800.000
Rina Setiawan;4;Tegal;4.4;650.000
Dwi Pratiwi;6;Tegal;4.9;900.000
Yudi Wijaya;5;Tegal;4.7;750.000
Filipus;5;Batu;4.5;550.000
Kenneth;4;Batu;4.8;600.000
Anderson;6;Batu;4.7;700.000
Willi;3;Batu;4.2;500.000
Rahmat Lingga;7;Kediri;4.9;750.000
Rangga Permana;5;Kediri;4.6;600.000
Gabriel ;4;Kediri;4.3;550.000
Ferry Carlos;6;Kediri;4.7;700.000
Daniel;7;Madiun;4.8;800.000
Arif Dede;4;Madiun;4.4;650.000
Dimas;6;Madiun;4.9;900.000
Dennis;5;Madiun;4.7;750.000
Denny Sumargo;7;Mojokerto;4.5;550.000
Cellos;4;Mojokerto;4.8;600.000
Mamat;6;Mojokerto;4.7;700.000
Tri Mulyana;3;Mojokerto;4.2;500.000
Ade Mulyana;7;Pasuruan;4.8;800.000
Ridwan;4;Pasuruan;4.4;650.000
Rizal Bakhri;6;Pasuruan;4.9;900.000
Yudi Wijaya;5;Pasuruan;4.7;750.000
Siti Rahayu;7;Probolinggo;4.5;550.000
Rudi Wijaya;4;Probolinggo;4.8;600.000
Maya Santoso;6;Probolinggo;4.7;700.000
Dina Nugroho;3;Probolinggo;4.2;500.000
